feature,pvalue,fold,model
B3GNT5,0.014077382915897645,3,RF_max_depth=2_min_samples_leaf=5
GAGE2A,0.014086656100062303,3,RF_max_depth=2_min_samples_leaf=5
CRX,0.014145524214089489,3,RF_max_depth=2_min_samples_leaf=5
AC087203.2,0.014169785535225096,3,RF_max_depth=2_min_samples_leaf=5
SLITRK2,0.014195099281894304,3,RF_max_depth=2_min_samples_leaf=5
AC127502.1,0.014479916502240824,3,RF_max_depth=2_min_samples_leaf=5
GAGE12J,0.014771282190371327,3,RF_max_depth=2_min_samples_leaf=5
SLC8A2,0.014785687756206985,3,RF_max_depth=2_min_samples_leaf=5
MUC17,0.014940199979783039,3,RF_max_depth=2_min_samples_leaf=5
ZNF286A,0.015050720803163812,3,RF_max_depth=2_min_samples_leaf=5
PLEKHH3,0.015081275194396393,3,RF_max_depth=2_min_samples_leaf=5
IGKV3-7,0.0007910669690770377,1,RF_max_depth=2_min_samples_leaf=10
AC074141.1,0.001111515132052327,1,RF_max_depth=2_min_samples_leaf=10
CGAS,0.0013794698403512544,1,RF_max_depth=2_min_samples_leaf=10
LACC1,0.001463260247494512,1,RF_max_depth=2_min_samples_leaf=10
IGHV3-48,0.0015155203237870996,1,RF_max_depth=2_min_samples_leaf=10
IGLV6-57,0.0016598026561755015,1,RF_max_depth=2_min_samples_leaf=10
RNA5SP86,0.0018372254226544618,1,RF_max_depth=2_min_samples_leaf=10
PRR11,0.0018823331525291615,1,RF_max_depth=2_min_samples_leaf=10
IGLV8-61,0.001885270258294649,1,RF_max_depth=2_min_samples_leaf=10
AL590609.2,0.0019388425913717004,1,RF_max_depth=2_min_samples_leaf=10
AC025048.4,0.0019943958418097763,1,RF_max_depth=2_min_samples_leaf=10
CLDN11,0.0024874848903345646,1,RF_max_depth=2_min_samples_leaf=10
CGGBP1,0.0025387364310277753,1,RF_max_depth=2_min_samples_leaf=10
AC090615.1,0.0029130789363434125,1,RF_max_depth=2_min_samples_leaf=10
RPL22P7,0.0029547641560357407,1,RF_max_depth=2_min_samples_leaf=10
ZNF667-AS1,0.003145537896943286,1,RF_max_depth=2_min_samples_leaf=10
CLIC2,0.0031607280791642956,1,RF_max_depth=2_min_samples_leaf=10
AC022905.1,0.003812424613970314,1,RF_max_depth=2_min_samples_leaf=10
IGKV2OR22-4,0.004053550680199976,1,RF_max_depth=2_min_samples_leaf=10
NPM1P9,0.0041548193502280355,1,RF_max_depth=2_min_samples_leaf=10
TMEM100,0.004175748339402192,1,RF_max_depth=2_min_samples_leaf=10
IGHV4OR15-8,0.004414197636313194,1,RF_max_depth=2_min_samples_leaf=10
ELOC,0.0044995859705910055,1,RF_max_depth=2_min_samples_leaf=10
ANKHD1-EIF4EBP3,0.0045531843497527025,1,RF_max_depth=2_min_samples_leaf=10
LINC01492,0.004564637143494248,1,RF_max_depth=2_min_samples_leaf=10
LINC01545,0.004584520920118339,1,RF_max_depth=2_min_samples_leaf=10
LINC01419,0.004587501041338265,1,RF_max_depth=2_min_samples_leaf=10
PRRX1,0.004674634222980005,1,RF_max_depth=2_min_samples_leaf=10
BACH1-IT1,0.004786436550310819,1,RF_max_depth=2_min_samples_leaf=10
ATF5,0.0049002181347656965,1,RF_max_depth=2_min_samples_leaf=10
SRRM1P3,0.005003798343112754,1,RF_max_depth=2_min_samples_leaf=10
IGHJ4,0.0050840001421923724,1,RF_max_depth=2_min_samples_leaf=10
IGLV2-11,0.005153381494996638,1,RF_max_depth=2_min_samples_leaf=10
BMS1P2,0.005187739180541355,1,RF_max_depth=2_min_samples_leaf=10
AC022034.3,0.00523552844238822,1,RF_max_depth=2_min_samples_leaf=10
RPS24P8,0.005462729977602703,1,RF_max_depth=2_min_samples_leaf=10
AC024581.2,0.005634842471787273,1,RF_max_depth=2_min_samples_leaf=10
ANKRD44-IT1,0.005747351704863533,1,RF_max_depth=2_min_samples_leaf=10
NUDT6,0.005802118295066351,1,RF_max_depth=2_min_samples_leaf=10
TNFSF8,0.005959843022943946,1,RF_max_depth=2_min_samples_leaf=10
SNORD92,0.006075360286709726,1,RF_max_depth=2_min_samples_leaf=10
AL590617.2,0.006329224341651748,1,RF_max_depth=2_min_samples_leaf=10
SLC44A3-AS1,0.006456287290073491,1,RF_max_depth=2_min_samples_leaf=10
NGFR,0.006652723111751038,1,RF_max_depth=2_min_samples_leaf=10
RNA5-8SP2,0.0068242201271174925,1,RF_max_depth=2_min_samples_leaf=10
IGLV2-28,0.006974202273759184,1,RF_max_depth=2_min_samples_leaf=10
IGLC5,0.007013245597450613,1,RF_max_depth=2_min_samples_leaf=10
RF00405,0.007218716177018154,1,RF_max_depth=2_min_samples_leaf=10
P4HA3-AS1,0.007409875797876151,1,RF_max_depth=2_min_samples_leaf=10
RPL10P13,0.007419456502267746,1,RF_max_depth=2_min_samples_leaf=10
P3H2-AS1,0.007445023725473846,1,RF_max_depth=2_min_samples_leaf=10
ZNF706,0.007524742674463662,1,RF_max_depth=2_min_samples_leaf=10
NARF-AS1,0.007555419457777155,1,RF_max_depth=2_min_samples_leaf=10
MYL9,0.007613027615975147,1,RF_max_depth=2_min_samples_leaf=10
IGKV3D-7,0.00791871779435085,1,RF_max_depth=2_min_samples_leaf=10
HNRNPUL2,0.008055771302827766,1,RF_max_depth=2_min_samples_leaf=10
RPL10P1,0.008440725375842941,1,RF_max_depth=2_min_samples_leaf=10
AL590135.1,0.008534348536954842,1,RF_max_depth=2_min_samples_leaf=10
AC019080.4,0.00889239511593827,1,RF_max_depth=2_min_samples_leaf=10
ZNF514,0.009356955173935462,1,RF_max_depth=2_min_samples_leaf=10
ZSWIM7,0.009521556205660983,1,RF_max_depth=2_min_samples_leaf=10
