feature,padj,fold,model
DEFB106A,7.295420126603929e-16,1,LR_C=1
KRTDAP,1.7600407918496227e-05,1,LR_C=1
AL138889.1,0.029376247814866537,1,LR_C=1
SUN3,0.052474126103953384,1,LR_C=1
AC100788.2,0.060183753048711174,1,LR_C=1
AC073548.1,0.060183753048711174,1,LR_C=1
PJVK,0.06518715825259544,1,LR_C=1
CAMK2N2,0.06853992663304975,1,LR_C=1
DLX6-AS1,0.15514775516845358,1,LR_C=1
AL353796.1,0.1672451779755188,1,LR_C=1
AL158835.2,0.19453074296233613,1,LR_C=1
CCDC26,0.19453074296233613,1,LR_C=1
LIX1L-AS1,0.19453074296233613,1,LR_C=1
LINC00514,0.19453074296233613,1,LR_C=1
RN7SL525P,0.19453074296233613,1,LR_C=1
AC005005.4,0.19453074296233613,1,LR_C=1
AC026523.2,0.19453074296233613,1,LR_C=1
PCA3,0.19453074296233613,1,LR_C=1
ARHGEF26-AS1,0.25946086390570494,1,LR_C=1
INAFM2,0.25946086390570494,1,LR_C=1
AL449283.1,0.0006220995539017461,2,LR_C=1
OR9K1P,0.3189450340015488,2,LR_C=1
AC006538.1,0.3189450340015488,2,LR_C=1
INAFM2,0.3189450340015488,2,LR_C=1
ANKRD44-IT1,0.3189450340015488,2,LR_C=1
AC025580.2,0.3189450340015488,2,LR_C=1
C2orf92,0.3189450340015488,2,LR_C=1
AL031594.1,0.48848470208865374,2,LR_C=1
LINC02395,0.48848470208865374,2,LR_C=1
C17orf113,0.48848470208865374,2,LR_C=1
AC008395.1,0.48848470208865374,2,LR_C=1
AC016355.1,0.48848470208865374,2,LR_C=1
AL445235.1,0.48848470208865374,2,LR_C=1
PCSK6-AS1,0.5927450678757099,2,LR_C=1
AC135731.1,0.5927450678757099,2,LR_C=1
AP005131.1,0.5927450678757099,2,LR_C=1
EGLN2,0.5927450678757099,2,LR_C=1
AC102953.2,0.5927450678757099,2,LR_C=1
AL122035.2,0.6503490733822863,2,LR_C=1
PRKAR2A-AS1,0.6933838234346996,2,LR_C=1
AC010999.3,0.9223882615041615,3,LR_C=1
AC135731.1,0.9658131512169129,3,LR_C=1
