feature,fold,model
AC016355.1,3,RF_max_depth=2_min_samples_leaf=5
AC005696.4,3,RF_max_depth=2_min_samples_leaf=5
AC127070.4,3,RF_max_depth=2_min_samples_leaf=5
AL353726.2,3,RF_max_depth=2_min_samples_leaf=5
AL008638.3,3,RF_max_depth=2_min_samples_leaf=5
AL117328.2,3,RF_max_depth=2_min_samples_leaf=5
AL160272.1,3,RF_max_depth=2_min_samples_leaf=5
CCDC26,1,RF_max_depth=2_min_samples_leaf=10
AL031594.1,1,RF_max_depth=2_min_samples_leaf=10
AL138889.1,1,RF_max_depth=2_min_samples_leaf=10
EGFL8,1,RF_max_depth=2_min_samples_leaf=10
AC004889.1,1,RF_max_depth=2_min_samples_leaf=10
INAFM2,1,RF_max_depth=2_min_samples_leaf=10
AC025580.2,1,RF_max_depth=2_min_samples_leaf=10
PCSK6-AS1,1,RF_max_depth=2_min_samples_leaf=10
AC135731.1,1,RF_max_depth=2_min_samples_leaf=10
AC006538.1,1,RF_max_depth=2_min_samples_leaf=10
LINC00514,1,RF_max_depth=2_min_samples_leaf=10
AC092068.2,1,RF_max_depth=2_min_samples_leaf=10
AC008395.1,1,RF_max_depth=2_min_samples_leaf=10
AC016355.1,1,RF_max_depth=2_min_samples_leaf=10
AC005696.4,1,RF_max_depth=2_min_samples_leaf=10
AC127070.4,1,RF_max_depth=2_min_samples_leaf=10
AL353726.2,1,RF_max_depth=2_min_samples_leaf=10
AL008638.3,1,RF_max_depth=2_min_samples_leaf=10
AL117328.2,1,RF_max_depth=2_min_samples_leaf=10
AL160272.1,1,RF_max_depth=2_min_samples_leaf=10
CCDC26,2,RF_max_depth=2_min_samples_leaf=10
AL031594.1,2,RF_max_depth=2_min_samples_leaf=10
AL138889.1,2,RF_max_depth=2_min_samples_leaf=10
EGFL8,2,RF_max_depth=2_min_samples_leaf=10
AC004889.1,2,RF_max_depth=2_min_samples_leaf=10
INAFM2,2,RF_max_depth=2_min_samples_leaf=10
AC025580.2,2,RF_max_depth=2_min_samples_leaf=10
PCSK6-AS1,2,RF_max_depth=2_min_samples_leaf=10
AC135731.1,2,RF_max_depth=2_min_samples_leaf=10
AC006538.1,2,RF_max_depth=2_min_samples_leaf=10
LINC00514,2,RF_max_depth=2_min_samples_leaf=10
AC092068.2,2,RF_max_depth=2_min_samples_leaf=10
AC008395.1,2,RF_max_depth=2_min_samples_leaf=10
AC016355.1,2,RF_max_depth=2_min_samples_leaf=10
AC005696.4,2,RF_max_depth=2_min_samples_leaf=10
AC127070.4,2,RF_max_depth=2_min_samples_leaf=10
AL353726.2,2,RF_max_depth=2_min_samples_leaf=10
AL008638.3,2,RF_max_depth=2_min_samples_leaf=10
AL117328.2,2,RF_max_depth=2_min_samples_leaf=10
AL160272.1,2,RF_max_depth=2_min_samples_leaf=10
CCDC26,3,RF_max_depth=2_min_samples_leaf=10
AL031594.1,3,RF_max_depth=2_min_samples_leaf=10
AL138889.1,3,RF_max_depth=2_min_samples_leaf=10
EGFL8,3,RF_max_depth=2_min_samples_leaf=10
AC004889.1,3,RF_max_depth=2_min_samples_leaf=10
INAFM2,3,RF_max_depth=2_min_samples_leaf=10
AC025580.2,3,RF_max_depth=2_min_samples_leaf=10
PCSK6-AS1,3,RF_max_depth=2_min_samples_leaf=10
AC135731.1,3,RF_max_depth=2_min_samples_leaf=10
AC006538.1,3,RF_max_depth=2_min_samples_leaf=10
LINC00514,3,RF_max_depth=2_min_samples_leaf=10
AC092068.2,3,RF_max_depth=2_min_samples_leaf=10
AC008395.1,3,RF_max_depth=2_min_samples_leaf=10
AC016355.1,3,RF_max_depth=2_min_samples_leaf=10
AC005696.4,3,RF_max_depth=2_min_samples_leaf=10
AC127070.4,3,RF_max_depth=2_min_samples_leaf=10
AL353726.2,3,RF_max_depth=2_min_samples_leaf=10
AL008638.3,3,RF_max_depth=2_min_samples_leaf=10
AL117328.2,3,RF_max_depth=2_min_samples_leaf=10
AL160272.1,3,RF_max_depth=2_min_samples_leaf=10
CCDC26,1,RF_max_depth=2_min_samples_leaf=15
AL031594.1,1,RF_max_depth=2_min_samples_leaf=15
AL138889.1,1,RF_max_depth=2_min_samples_leaf=15
EGFL8,1,RF_max_depth=2_min_samples_leaf=15
AC004889.1,1,RF_max_depth=2_min_samples_leaf=15
INAFM2,1,RF_max_depth=2_min_samples_leaf=15
AC025580.2,1,RF_max_depth=2_min_samples_leaf=15
PCSK6-AS1,1,RF_max_depth=2_min_samples_leaf=15
AC135731.1,1,RF_max_depth=2_min_samples_leaf=15
AC006538.1,1,RF_max_depth=2_min_samples_leaf=15
LINC00514,1,RF_max_depth=2_min_samples_leaf=15
AC092068.2,1,RF_max_depth=2_min_samples_leaf=15
AC008395.1,1,RF_max_depth=2_min_samples_leaf=15
AC016355.1,1,RF_max_depth=2_min_samples_leaf=15
AC005696.4,1,RF_max_depth=2_min_samples_leaf=15
AC127070.4,1,RF_max_depth=2_min_samples_leaf=15
AL353726.2,1,RF_max_depth=2_min_samples_leaf=15
AL008638.3,1,RF_max_depth=2_min_samples_leaf=15
AL117328.2,1,RF_max_depth=2_min_samples_leaf=15
AL160272.1,1,RF_max_depth=2_min_samples_leaf=15
CCDC26,2,RF_max_depth=2_min_samples_leaf=15
AL031594.1,2,RF_max_depth=2_min_samples_leaf=15
AL138889.1,2,RF_max_depth=2_min_samples_leaf=15
EGFL8,2,RF_max_depth=2_min_samples_leaf=15
AC004889.1,2,RF_max_depth=2_min_samples_leaf=15
INAFM2,2,RF_max_depth=2_min_samples_leaf=15
AC025580.2,2,RF_max_depth=2_min_samples_leaf=15
PCSK6-AS1,2,RF_max_depth=2_min_samples_leaf=15
AC135731.1,2,RF_max_depth=2_min_samples_leaf=15
AC006538.1,2,RF_max_depth=2_min_samples_leaf=15
LINC00514,2,RF_max_depth=2_min_samples_leaf=15
AC092068.2,2,RF_max_depth=2_min_samples_leaf=15
AC008395.1,2,RF_max_depth=2_min_samples_leaf=15
AC016355.1,2,RF_max_depth=2_min_samples_leaf=15
AC005696.4,2,RF_max_depth=2_min_samples_leaf=15
AC127070.4,2,RF_max_depth=2_min_samples_leaf=15
AL353726.2,2,RF_max_depth=2_min_samples_leaf=15
AL008638.3,2,RF_max_depth=2_min_samples_leaf=15
AL117328.2,2,RF_max_depth=2_min_samples_leaf=15
AL160272.1,2,RF_max_depth=2_min_samples_leaf=15
CCDC26,3,RF_max_depth=2_min_samples_leaf=15
AL031594.1,3,RF_max_depth=2_min_samples_leaf=15
AL138889.1,3,RF_max_depth=2_min_samples_leaf=15
EGFL8,3,RF_max_depth=2_min_samples_leaf=15
AC004889.1,3,RF_max_depth=2_min_samples_leaf=15
INAFM2,3,RF_max_depth=2_min_samples_leaf=15
AC025580.2,3,RF_max_depth=2_min_samples_leaf=15
PCSK6-AS1,3,RF_max_depth=2_min_samples_leaf=15
AC135731.1,3,RF_max_depth=2_min_samples_leaf=15
AC006538.1,3,RF_max_depth=2_min_samples_leaf=15
LINC00514,3,RF_max_depth=2_min_samples_leaf=15
AC092068.2,3,RF_max_depth=2_min_samples_leaf=15
AC008395.1,3,RF_max_depth=2_min_samples_leaf=15
AC016355.1,3,RF_max_depth=2_min_samples_leaf=15
AC005696.4,3,RF_max_depth=2_min_samples_leaf=15
AC127070.4,3,RF_max_depth=2_min_samples_leaf=15
AL353726.2,3,RF_max_depth=2_min_samples_leaf=15
AL008638.3,3,RF_max_depth=2_min_samples_leaf=15
AL117328.2,3,RF_max_depth=2_min_samples_leaf=15
AL160272.1,3,RF_max_depth=2_min_samples_leaf=15
CCDC26,1,RF_max_depth=4_min_samples_leaf=5
AL031594.1,1,RF_max_depth=4_min_samples_leaf=5
AL138889.1,1,RF_max_depth=4_min_samples_leaf=5
EGFL8,1,RF_max_depth=4_min_samples_leaf=5
AC004889.1,1,RF_max_depth=4_min_samples_leaf=5
INAFM2,1,RF_max_depth=4_min_samples_leaf=5
AC025580.2,1,RF_max_depth=4_min_samples_leaf=5
PCSK6-AS1,1,RF_max_depth=4_min_samples_leaf=5
AC135731.1,1,RF_max_depth=4_min_samples_leaf=5
AC006538.1,1,RF_max_depth=4_min_samples_leaf=5
LINC00514,1,RF_max_depth=4_min_samples_leaf=5
AC092068.2,1,RF_max_depth=4_min_samples_leaf=5
AC008395.1,1,RF_max_depth=4_min_samples_leaf=5
AC016355.1,1,RF_max_depth=4_min_samples_leaf=5
AC005696.4,1,RF_max_depth=4_min_samples_leaf=5
AC127070.4,1,RF_max_depth=4_min_samples_leaf=5
AL353726.2,1,RF_max_depth=4_min_samples_leaf=5
AL008638.3,1,RF_max_depth=4_min_samples_leaf=5
AL117328.2,1,RF_max_depth=4_min_samples_leaf=5
AL160272.1,1,RF_max_depth=4_min_samples_leaf=5
CCDC26,2,RF_max_depth=4_min_samples_leaf=5
AL031594.1,2,RF_max_depth=4_min_samples_leaf=5
AL138889.1,2,RF_max_depth=4_min_samples_leaf=5
EGFL8,2,RF_max_depth=4_min_samples_leaf=5
AC004889.1,2,RF_max_depth=4_min_samples_leaf=5
INAFM2,2,RF_max_depth=4_min_samples_leaf=5
AC025580.2,2,RF_max_depth=4_min_samples_leaf=5
PCSK6-AS1,2,RF_max_depth=4_min_samples_leaf=5
AC135731.1,2,RF_max_depth=4_min_samples_leaf=5
AC006538.1,2,RF_max_depth=4_min_samples_leaf=5
LINC00514,2,RF_max_depth=4_min_samples_leaf=5
AC092068.2,2,RF_max_depth=4_min_samples_leaf=5
AC008395.1,2,RF_max_depth=4_min_samples_leaf=5
AC016355.1,2,RF_max_depth=4_min_samples_leaf=5
AC005696.4,2,RF_max_depth=4_min_samples_leaf=5
AC127070.4,2,RF_max_depth=4_min_samples_leaf=5
AL353726.2,2,RF_max_depth=4_min_samples_leaf=5
AL008638.3,2,RF_max_depth=4_min_samples_leaf=5
AL117328.2,2,RF_max_depth=4_min_samples_leaf=5
AL160272.1,2,RF_max_depth=4_min_samples_leaf=5
CCDC26,3,RF_max_depth=4_min_samples_leaf=5
AL031594.1,3,RF_max_depth=4_min_samples_leaf=5
AL138889.1,3,RF_max_depth=4_min_samples_leaf=5
EGFL8,3,RF_max_depth=4_min_samples_leaf=5
AC004889.1,3,RF_max_depth=4_min_samples_leaf=5
INAFM2,3,RF_max_depth=4_min_samples_leaf=5
AC025580.2,3,RF_max_depth=4_min_samples_leaf=5
PCSK6-AS1,3,RF_max_depth=4_min_samples_leaf=5
AC135731.1,3,RF_max_depth=4_min_samples_leaf=5
AC006538.1,3,RF_max_depth=4_min_samples_leaf=5
LINC00514,3,RF_max_depth=4_min_samples_leaf=5
AC092068.2,3,RF_max_depth=4_min_samples_leaf=5
AC008395.1,3,RF_max_depth=4_min_samples_leaf=5
AC016355.1,3,RF_max_depth=4_min_samples_leaf=5
AC005696.4,3,RF_max_depth=4_min_samples_leaf=5
AC127070.4,3,RF_max_depth=4_min_samples_leaf=5
AL353726.2,3,RF_max_depth=4_min_samples_leaf=5
AL008638.3,3,RF_max_depth=4_min_samples_leaf=5
AL117328.2,3,RF_max_depth=4_min_samples_leaf=5
AL160272.1,3,RF_max_depth=4_min_samples_leaf=5
CCDC26,1,RF_max_depth=4_min_samples_leaf=10
AL031594.1,1,RF_max_depth=4_min_samples_leaf=10
AL138889.1,1,RF_max_depth=4_min_samples_leaf=10
EGFL8,1,RF_max_depth=4_min_samples_leaf=10
AC004889.1,1,RF_max_depth=4_min_samples_leaf=10
INAFM2,1,RF_max_depth=4_min_samples_leaf=10
AC025580.2,1,RF_max_depth=4_min_samples_leaf=10
PCSK6-AS1,1,RF_max_depth=4_min_samples_leaf=10
AC135731.1,1,RF_max_depth=4_min_samples_leaf=10
AC006538.1,1,RF_max_depth=4_min_samples_leaf=10
LINC00514,1,RF_max_depth=4_min_samples_leaf=10
AC092068.2,1,RF_max_depth=4_min_samples_leaf=10
AC008395.1,1,RF_max_depth=4_min_samples_leaf=10
AC016355.1,1,RF_max_depth=4_min_samples_leaf=10
AC005696.4,1,RF_max_depth=4_min_samples_leaf=10
AC127070.4,1,RF_max_depth=4_min_samples_leaf=10
AL353726.2,1,RF_max_depth=4_min_samples_leaf=10
AL008638.3,1,RF_max_depth=4_min_samples_leaf=10
AL117328.2,1,RF_max_depth=4_min_samples_leaf=10
AL160272.1,1,RF_max_depth=4_min_samples_leaf=10
CCDC26,2,RF_max_depth=4_min_samples_leaf=10
AL031594.1,2,RF_max_depth=4_min_samples_leaf=10
AL138889.1,2,RF_max_depth=4_min_samples_leaf=10
EGFL8,2,RF_max_depth=4_min_samples_leaf=10
AC004889.1,2,RF_max_depth=4_min_samples_leaf=10
INAFM2,2,RF_max_depth=4_min_samples_leaf=10
AC025580.2,2,RF_max_depth=4_min_samples_leaf=10
PCSK6-AS1,2,RF_max_depth=4_min_samples_leaf=10
AC135731.1,2,RF_max_depth=4_min_samples_leaf=10
AC006538.1,2,RF_max_depth=4_min_samples_leaf=10
LINC00514,2,RF_max_depth=4_min_samples_leaf=10
AC092068.2,2,RF_max_depth=4_min_samples_leaf=10
AC008395.1,2,RF_max_depth=4_min_samples_leaf=10
AC016355.1,2,RF_max_depth=4_min_samples_leaf=10
AC005696.4,2,RF_max_depth=4_min_samples_leaf=10
AC127070.4,2,RF_max_depth=4_min_samples_leaf=10
AL353726.2,2,RF_max_depth=4_min_samples_leaf=10
AL008638.3,2,RF_max_depth=4_min_samples_leaf=10
AL117328.2,2,RF_max_depth=4_min_samples_leaf=10
AL160272.1,2,RF_max_depth=4_min_samples_leaf=10
CCDC26,3,RF_max_depth=4_min_samples_leaf=10
AL031594.1,3,RF_max_depth=4_min_samples_leaf=10
AL138889.1,3,RF_max_depth=4_min_samples_leaf=10
EGFL8,3,RF_max_depth=4_min_samples_leaf=10
AC004889.1,3,RF_max_depth=4_min_samples_leaf=10
INAFM2,3,RF_max_depth=4_min_samples_leaf=10
AC025580.2,3,RF_max_depth=4_min_samples_leaf=10
PCSK6-AS1,3,RF_max_depth=4_min_samples_leaf=10
AC135731.1,3,RF_max_depth=4_min_samples_leaf=10
AC006538.1,3,RF_max_depth=4_min_samples_leaf=10
LINC00514,3,RF_max_depth=4_min_samples_leaf=10
AC092068.2,3,RF_max_depth=4_min_samples_leaf=10
AC008395.1,3,RF_max_depth=4_min_samples_leaf=10
AC016355.1,3,RF_max_depth=4_min_samples_leaf=10
AC005696.4,3,RF_max_depth=4_min_samples_leaf=10
AC127070.4,3,RF_max_depth=4_min_samples_leaf=10
AL353726.2,3,RF_max_depth=4_min_samples_leaf=10
AL008638.3,3,RF_max_depth=4_min_samples_leaf=10
AL117328.2,3,RF_max_depth=4_min_samples_leaf=10
AL160272.1,3,RF_max_depth=4_min_samples_leaf=10
CCDC26,1,RF_max_depth=4_min_samples_leaf=15
AL031594.1,1,RF_max_depth=4_min_samples_leaf=15
AL138889.1,1,RF_max_depth=4_min_samples_leaf=15
EGFL8,1,RF_max_depth=4_min_samples_leaf=15
AC004889.1,1,RF_max_depth=4_min_samples_leaf=15
INAFM2,1,RF_max_depth=4_min_samples_leaf=15
AC025580.2,1,RF_max_depth=4_min_samples_leaf=15
PCSK6-AS1,1,RF_max_depth=4_min_samples_leaf=15
AC135731.1,1,RF_max_depth=4_min_samples_leaf=15
AC006538.1,1,RF_max_depth=4_min_samples_leaf=15
LINC00514,1,RF_max_depth=4_min_samples_leaf=15
AC092068.2,1,RF_max_depth=4_min_samples_leaf=15
AC008395.1,1,RF_max_depth=4_min_samples_leaf=15
AC016355.1,1,RF_max_depth=4_min_samples_leaf=15
AC005696.4,1,RF_max_depth=4_min_samples_leaf=15
AC127070.4,1,RF_max_depth=4_min_samples_leaf=15
AL353726.2,1,RF_max_depth=4_min_samples_leaf=15
AL008638.3,1,RF_max_depth=4_min_samples_leaf=15
AL117328.2,1,RF_max_depth=4_min_samples_leaf=15
AL160272.1,1,RF_max_depth=4_min_samples_leaf=15
CCDC26,2,RF_max_depth=4_min_samples_leaf=15
AL031594.1,2,RF_max_depth=4_min_samples_leaf=15
AL138889.1,2,RF_max_depth=4_min_samples_leaf=15
EGFL8,2,RF_max_depth=4_min_samples_leaf=15
AC004889.1,2,RF_max_depth=4_min_samples_leaf=15
INAFM2,2,RF_max_depth=4_min_samples_leaf=15
AC025580.2,2,RF_max_depth=4_min_samples_leaf=15
PCSK6-AS1,2,RF_max_depth=4_min_samples_leaf=15
AC135731.1,2,RF_max_depth=4_min_samples_leaf=15
AC006538.1,2,RF_max_depth=4_min_samples_leaf=15
LINC00514,2,RF_max_depth=4_min_samples_leaf=15
AC092068.2,2,RF_max_depth=4_min_samples_leaf=15
AC008395.1,2,RF_max_depth=4_min_samples_leaf=15
AC016355.1,2,RF_max_depth=4_min_samples_leaf=15
AC005696.4,2,RF_max_depth=4_min_samples_leaf=15
AC127070.4,2,RF_max_depth=4_min_samples_leaf=15
AL353726.2,2,RF_max_depth=4_min_samples_leaf=15
AL008638.3,2,RF_max_depth=4_min_samples_leaf=15
AL117328.2,2,RF_max_depth=4_min_samples_leaf=15
AL160272.1,2,RF_max_depth=4_min_samples_leaf=15
CCDC26,3,RF_max_depth=4_min_samples_leaf=15
AL031594.1,3,RF_max_depth=4_min_samples_leaf=15
AL138889.1,3,RF_max_depth=4_min_samples_leaf=15
EGFL8,3,RF_max_depth=4_min_samples_leaf=15
AC004889.1,3,RF_max_depth=4_min_samples_leaf=15
INAFM2,3,RF_max_depth=4_min_samples_leaf=15
AC025580.2,3,RF_max_depth=4_min_samples_leaf=15
PCSK6-AS1,3,RF_max_depth=4_min_samples_leaf=15
AC135731.1,3,RF_max_depth=4_min_samples_leaf=15
AC006538.1,3,RF_max_depth=4_min_samples_leaf=15
LINC00514,3,RF_max_depth=4_min_samples_leaf=15
AC092068.2,3,RF_max_depth=4_min_samples_leaf=15
AC008395.1,3,RF_max_depth=4_min_samples_leaf=15
AC016355.1,3,RF_max_depth=4_min_samples_leaf=15
AC005696.4,3,RF_max_depth=4_min_samples_leaf=15
AC127070.4,3,RF_max_depth=4_min_samples_leaf=15
AL353726.2,3,RF_max_depth=4_min_samples_leaf=15
AL008638.3,3,RF_max_depth=4_min_samples_leaf=15
AL117328.2,3,RF_max_depth=4_min_samples_leaf=15
AL160272.1,3,RF_max_depth=4_min_samples_leaf=15
